id,layer,family,formula,horizon,inputs,source_path,source_symbol,pit_status,current_weight,evidence_status,authority,duplicate_group
V4_MONTHLY_RSI,OPERATIONAL_V4_INPUT,PRICE_MOMENTUM,"Wilder RSI(14) on completed month closes, normalized by own-history percentile",14 months plus normalization history,['adjusted OHLCV'],data/indicators/rsi.py,calc_monthly_rsi,AVAILABLE,0.24,LEGACY_ACTIVE_NOT_V2_ADOPTED,LEGACY_SCORE_ONLY,PRICE_EXTENSION
V4_WEEKLY_RSI,OPERATIONAL_V4_INPUT,PRICE_MOMENTUM,"Wilder RSI(14) on completed week closes, normalized by own-history percentile",14 weeks plus normalization history,['adjusted OHLCV'],data/indicators/rsi.py,calc_weekly_rsi,AVAILABLE,0.19,LEGACY_ACTIVE_NOT_V2_ADOPTED,LEGACY_SCORE_ONLY,PRICE_EXTENSION
V4_52W_POSITION,OPERATIONAL_V4_INPUT,PRICE_POSITION,"(close - 252d low) / (252d high - 252d low), own-history percentile",252 sessions,['adjusted OHLCV'],data/indicators/price_position.py,calc_52w_position,AVAILABLE,0.19,LEGACY_ACTIVE_NOT_V2_ADOPTED,LEGACY_SCORE_ONLY,PRICE_EXTENSION
V4_MA200_DEVIATION,OPERATIONAL_V4_INPUT,PRICE_TREND,"close / SMA200 - 1, own-history percentile",200 sessions,['adjusted close'],data/indicators/price_position.py,calc_ma200_deviation,AVAILABLE,0.18,LEGACY_ACTIVE_NOT_V2_ADOPTED,LEGACY_SCORE_ONLY,PRICE_EXTENSION
V4_VOLUME_STRENGTH,OPERATIONAL_V4_INPUT,PARTICIPATION,"SMA5(volume) / SMA20(volume), own-history percentile",5/20 sessions,['volume'],data/indicators/volume.py,calc_volume_strength,AVAILABLE,0.0,LEGACY_DISABLED,NONE,VOLUME_PARTICIPATION
V4_MA200_WEEKLY,OPERATIONAL_V4_INPUT,PRICE_TREND,"completed weekly close / available SMA up to 200 weeks, own-history percentile",up to 200 weeks,['adjusted close'],data/indicators/ma200_weekly.py,calc_ma200_weekly,AVAILABLE_WITH_SHORT_HISTORY_FALLBACK,0.2,LEGACY_ACTIVE_NOT_V2_ADOPTED,LEGACY_SCORE_ONLY,LONG_TREND
V4_EPS_MULTIPLIER,OPERATIONAL_V4_MULTIPLIER,FUNDAMENTAL_EVENT,latest 2-4 consecutive quarterly EPS beat/miss multiplier 0.85-1.15,latest four quarters,['Finnhub earnings'],data/herd/earnings_point_in_time.py,build_eps_multiplier_series,LATEST_ONLY_IN_OPERATION; HISTORICAL_BACKFILL_EXCLUDED,,LEGACY_ACTIVE_PIT_LIMITED,LEGACY_SCORE_ONLY,BUSINESS_STATE
V4_SECTOR_MULTIPLIER,OPERATIONAL_V4_MULTIPLIER,RELATIVE_STRENGTH,"stock return minus mapped sector ETF return, bucketed multiplier 0.90-1.10",90 observations,"['stock price', 'sector ETF price']",data/collectors/sector_collector.py,get_sector_multiplier,LATEST_ONLY_IN_OPERATION,,LEGACY_ACTIVE_NOT_V2_ADOPTED,LEGACY_SCORE_ONLY,RELATIVE_STRENGTH
V61_STABILIZED_HERD,DERIVED_ACTION_CONTEXT,STATE_STABILITY,retain previous boundary side within 2 point crossing band,previous observation,['HERD v4'],data/herd/backtest_validation_v2.py,make_v61_decision,AVAILABLE,,DERIVED_LEGACY,ACTION_CONTEXT_ONLY,V4_DERIVATIVE
V61_TREND_QUALITY,DERIVED_ACTION_CONTEXT,PRICE_TREND,"rule score from weekly MA200, MA200 deviation, 52w position, sector and EPS",mixed,['HerdIndicator'],backend/src/main/java/com/herdsignal/service/HerdTrendQualityCalculator.java,calculate,MIXED,,UNVALIDATED_COMPOSITE,ACTION_CONTEXT_ONLY,V4_RECOMBINATION
V61_HERD_MOMENTUM,DERIVED_ACTION_CONTEXT,SCORE_MOMENTUM,HERD 5d and 20d change plus acceleration,5/20 calendar days,['HERD v4 history'],backend/src/main/java/com/herdsignal/service/HerdMomentumCalculator.java,calculate,AVAILABLE,,DERIVED_LEGACY,ACTION_CONTEXT_ONLY,V4_DERIVATIVE
V61_LIFECYCLE,DERIVED_ACTION_CONTEXT,STATE_DURATION,same-state duration buckets alter action ratio,1 to 45+ days,['HERD stage history'],backend/src/main/java/com/herdsignal/service/HerdLifecycleClassifier.java,classify,AVAILABLE,,EXECUTION_POLICY,ACTION_SIZE_ONLY,EXECUTION
V61_DATA_QUALITY,SAFETY_GATE,RELIABILITY,freshness and completeness gate,latest run,['scheduler and data timestamps'],backend/src/main/java/com/herdsignal/service/DataFreshnessService.java,determineStatus,AVAILABLE,,SAFETY_ONLY,VETO_ONLY,NONE
V61_INVESTOR_PROFILE,PERSONAL_POLICY,PERSONAL,"strategy, risk, horizon and liquidity limits",current setting,['user profile'],backend/src/main/java/com/herdsignal/service/InvestorProfileService.java,forDecision,NOT_MARKET_DATA,,PERSONAL_POLICY,ACTION_SIZE_ONLY,NONE
V61_PORTFOLIO_CONTEXT,PERSONAL_POLICY,PORTFOLIO,"holding, target and concentration limits",current portfolio,['portfolio'],backend/src/main/java/com/herdsignal/service/PortfolioAdjustmentPolicy.java,adjust,NOT_MARKET_DATA,,PERSONAL_POLICY,ACTION_SIZE_ONLY,NONE
V61_COOLDOWN,EXECUTION_POLICY,EXECUTION,recent same-direction action suppression,recent journal,['signal journal'],backend/src/main/java/com/herdsignal/service/ActionCooldownPolicy.java,apply,AVAILABLE,,EXECUTION_POLICY,VETO_ONLY,EXECUTION
R_PARTICIPATION_BREADTH,RESEARCH_CANDIDATE,PARTICIPATION,share above SMA200 and positive 63d return,63/200 sessions,['cross-sectional adjusted close'],data/herd/evidence_family_validation.py,build_evidence_scores,AVAILABLE_IN_FIXED_UNIVERSE,,CURRENT_FORMULA_FAILED_OOS,NONE,TREND_PARTICIPATION
R_TREND_RELATIVE_STRENGTH,RESEARCH_CANDIDATE,RELATIVE_STRENGTH,50% 12-1 cross-sectional momentum plus 50% SMA200 distance score,12 months/200 sessions,['cross-sectional adjusted close'],data/herd/evidence_family_validation.py,build_evidence_scores,AVAILABLE_IN_FIXED_UNIVERSE,,CURRENT_FORMULA_FAILED_OOS,NONE,TREND_RELATIVE_STRENGTH
R_DOWNSIDE_RISK,RESEARCH_CANDIDATE,RISK,50% inverse 63d downside volatility rank plus 50% 252d drawdown resilience,63/252 sessions,['adjusted close'],data/herd/evidence_family_validation.py,build_evidence_scores,AVAILABLE,,PASSED_RISK_CAP_ROLE_ONLY,ACTION_INTENSITY_CAP_ONLY,DOWNSIDE_RISK
R_TREND_QUALITY_R2,RESEARCH_CANDIDATE,PRICE_TREND,R squared of positive 126d log-price trend,126 sessions,['adjusted close'],data/herd/opportunity_price_features.py,_trend_quality,AVAILABLE,,FAILED_OPPORTUNITY_OOS,NONE,LONG_TREND
R_SECTOR_ALIGNMENT,RESEARCH_CANDIDATE,RELATIVE_STRENGTH,63d daily return correlation with mapped sector ETF,63 sessions,"['stock price', 'sector ETF price']",data/herd/opportunity_price_features.py,calculate_price_features_at,AVAILABLE,,FAILED_OPPORTUNITY_OOS,NONE,RELATIVE_STRENGTH
R_RETURN_CONCENTRATION,RESEARCH_CANDIDATE,PARTICIPATION,top five positive daily returns divided by all positive returns,126 sessions,['adjusted close'],data/herd/opportunity_price_features.py,calculate_price_features_at,AVAILABLE,,FAILED_OPPORTUNITY_OOS,NONE,RETURN_PATH
R_INTRADAY_SHARE,RESEARCH_CANDIDATE,PARTICIPATION,63d cumulative intraday log return divided by absolute intraday plus overnight moves,63 sessions,"['adjusted open', 'adjusted close']",data/herd/opportunity_price_features.py,calculate_price_features_at,AVAILABLE,,FAILED_OPPORTUNITY_OOS,NONE,RETURN_PATH
R_OVERNIGHT_SHARE,RESEARCH_CANDIDATE,PARTICIPATION,63d cumulative overnight log return divided by absolute intraday plus overnight moves,63 sessions,"['adjusted open', 'adjusted close']",data/herd/opportunity_price_features.py,calculate_price_features_at,AVAILABLE,,DIAGNOSTIC_ONLY,NONE,RETURN_PATH
R_CAPITAL_GAIN_OVERHANG_PROXY,RESEARCH_CANDIDATE,CROWD_POSITIONING,close divided by 126d volume-weighted adjusted close minus one,126 sessions,"['adjusted close', 'volume']",data/herd/opportunity_price_features.py,calculate_price_features_at,PROXY_ONLY,,FAILED_OPPORTUNITY_OOS,NONE,PRICE_EXTENSION
R_MARKET_VOLATILITY,RESEARCH_CANDIDATE,MARKET_REGIME,63d annualized SPY volatility expanding percentile,63 sessions plus history,['SPY adjusted close'],data/herd/opportunity_context_features.py,build_market_history,AVAILABLE,,FAILED_OPPORTUNITY_OOS,NONE,MARKET_RISK
R_MARKET_DRAWDOWN_REBOUND,RESEARCH_CANDIDATE,MARKET_REGIME,SPY 63d drawdown and positive 21d return after prior 10% drawdown,21/63 sessions,['SPY adjusted close'],data/herd/opportunity_context_features.py,build_market_history,AVAILABLE,,DIAGNOSTIC_ONLY,NONE,MARKET_RISK
R_BUSINESS_DETERIORATION,RESEARCH_CANDIDATE,BUSINESS_STATE,"PIT revenue, margin, operating cash flow and leverage deterioration by entity type",12 months,['SEC Company Facts accepted timestamp'],data/herd/business_state_v2.py,classify_v2,STRICT_PIT_WITH_TYPE_GAPS,,FAILED_OR_DATA_LIMITED_OOS,NONE,BUSINESS_STATE
R_PRICE_BUSINESS_DIVERGENCE,RESEARCH_CANDIDATE,PRICE_FUNDAMENTAL_DIVERGENCE,high price extension conditional on PIT business deterioration,price 126 sessions/business 12 months,"['price feature', 'SEC PIT business state']",data/herd/opportunity_context_features.py,build_context_features,STRICT_PIT_WITH_UNKNOWN_TYPES,,FAILED_OPPORTUNITY_OOS,NONE,BUSINESS_STATE
R_WEEKLY_RSI_EXTREME_ENTRY,RESEARCH_CANDIDATE,CROWD_EXTENSION,completed weekly Wilder RSI(14) crosses above 75 once per episode,14 weeks,['completed weekly adjusted close'],data/herd/weekly_rsi_events.py,extract_weekly_rsi_events,AVAILABLE,,RELATIVE_INFORMATION_BUT_FAILED_ACTION_GATE,OBSERVATION_CANDIDATE_ONLY,PRICE_EXTENSION
R_WEEKLY_RSI_COOLING_EXIT,RESEARCH_CANDIDATE,CROWD_TRANSITION,completed weekly Wilder RSI crosses below 70 after active extreme episode,episode dependent,['completed weekly adjusted close'],data/herd/weekly_rsi_events.py,extract_weekly_rsi_events,AVAILABLE,,RELATIVE_INFORMATION_BUT_FAILED_ACTION_GATE,OBSERVATION_CANDIDATE_ONLY,PRICE_EXTENSION
