ticker,asset_type,cik,cik_mapping_status,fold_id,as_of,available_fact_rows,available_accessions,available_concepts,status
AAPL,EQUITY,0000320193,UNIQUE_CURRENT_CIK,F01,2018-02-01,10425,26,333,PIT_FACTS_READY
AAPL,EQUITY,0000320193,UNIQUE_CURRENT_CIK,F02,2020-02-03,13695,35,406,PIT_FACTS_READY
AAPL,EQUITY,0000320193,UNIQUE_CURRENT_CIK,F03,2022-02-03,16579,43,430,PIT_FACTS_READY
AAPL,EQUITY,0000320193,UNIQUE_CURRENT_CIK,F04,2024-02-05,19041,51,443,PIT_FACTS_READY
ABBV,EQUITY,0001551152,UNIQUE_CURRENT_CIK,F01,2018-02-01,6330,19,316,PIT_FACTS_READY
ABBV,EQUITY,0001551152,UNIQUE_CURRENT_CIK,F02,2020-02-03,9584,27,372,PIT_FACTS_READY
ABBV,EQUITY,0001551152,UNIQUE_CURRENT_CIK,F03,2022-02-03,12885,35,419,PIT_FACTS_READY
ABBV,EQUITY,0001551152,UNIQUE_CURRENT_CIK,F04,2024-02-05,16103,43,434,PIT_FACTS_READY
AMT,EQUITY,0001053507,UNIQUE_CURRENT_CIK,F01,2018-02-01,11737,24,504,PIT_FACTS_READY
AMT,EQUITY,0001053507,UNIQUE_CURRENT_CIK,F02,2020-02-03,16005,32,588,PIT_FACTS_READY
AMT,EQUITY,0001053507,UNIQUE_CURRENT_CIK,F03,2022-02-03,20099,40,611,PIT_FACTS_READY
AMT,EQUITY,0001053507,UNIQUE_CURRENT_CIK,F04,2024-02-05,23965,48,630,PIT_FACTS_READY
AMZN,EQUITY,0001018724,UNIQUE_CURRENT_CIK,F01,2018-02-01,9959,24,367,PIT_FACTS_READY
AMZN,EQUITY,0001018724,UNIQUE_CURRENT_CIK,F02,2020-02-03,14099,33,449,PIT_FACTS_READY
AMZN,EQUITY,0001018724,UNIQUE_CURRENT_CIK,F03,2022-02-03,17376,40,467,PIT_FACTS_READY
AMZN,EQUITY,0001018724,UNIQUE_CURRENT_CIK,F04,2024-02-05,21794,49,490,PIT_FACTS_READY
APD,EQUITY,0000002969,UNIQUE_CURRENT_CIK,F01,2018-02-01,13990,26,546,PIT_FACTS_READY
APD,EQUITY,0000002969,UNIQUE_CURRENT_CIK,F02,2020-02-03,18334,34,623,PIT_FACTS_READY
APD,EQUITY,0000002969,UNIQUE_CURRENT_CIK,F03,2022-02-03,22083,41,646,PIT_FACTS_READY
APD,EQUITY,0000002969,UNIQUE_CURRENT_CIK,F04,2024-02-05,25746,49,673,PIT_FACTS_READY
AVGO,EQUITY,0001649338,VERIFIED_PERIOD_CIK,F01,2018-02-01,3465,8,306,PIT_FACTS_READY
AVGO,EQUITY,0001730168,VERIFIED_PERIOD_CIK,F02,2020-02-03,3551,7,322,PIT_FACTS_READY
AVGO,EQUITY,0001730168,VERIFIED_PERIOD_CIK,F03,2022-02-03,7944,16,385,PIT_FACTS_READY
AVGO,EQUITY,0001730168,VERIFIED_PERIOD_CIK,F04,2024-02-05,11115,24,405,PIT_FACTS_READY
BA,EQUITY,0000012927,UNIQUE_CURRENT_CIK,F01,2018-02-01,12369,24,474,PIT_FACTS_READY
BA,EQUITY,0000012927,UNIQUE_CURRENT_CIK,F02,2020-02-03,17374,33,554,PIT_FACTS_READY
BA,EQUITY,0000012927,UNIQUE_CURRENT_CIK,F03,2022-02-03,21643,41,599,PIT_FACTS_READY
BA,EQUITY,0000012927,UNIQUE_CURRENT_CIK,F04,2024-02-05,25764,49,623,PIT_FACTS_READY
BAC,EQUITY,0000070858,UNIQUE_CURRENT_CIK,F01,2018-02-01,19179,28,617,PIT_FACTS_READY
BAC,EQUITY,0000070858,UNIQUE_CURRENT_CIK,F02,2020-02-03,24048,36,703,PIT_FACTS_READY
BAC,EQUITY,0000070858,UNIQUE_CURRENT_CIK,F03,2022-02-03,28849,44,731,PIT_FACTS_READY
BAC,EQUITY,0000070858,UNIQUE_CURRENT_CIK,F04,2024-02-05,33614,52,755,PIT_FACTS_READY
CAT,EQUITY,0000018230,UNIQUE_CURRENT_CIK,F01,2018-02-01,15353,25,495,PIT_FACTS_READY
CAT,EQUITY,0000018230,UNIQUE_CURRENT_CIK,F02,2020-02-03,20030,33,577,PIT_FACTS_READY
CAT,EQUITY,0000018230,UNIQUE_CURRENT_CIK,F03,2022-02-03,24597,41,611,PIT_FACTS_READY
CAT,EQUITY,0000018230,UNIQUE_CURRENT_CIK,F04,2024-02-05,29130,49,630,PIT_FACTS_READY
COP,EQUITY,0001163165,UNIQUE_CURRENT_CIK,F01,2018-02-01,12069,25,505,PIT_FACTS_READY
COP,EQUITY,0001163165,UNIQUE_CURRENT_CIK,F02,2020-02-03,16578,34,596,PIT_FACTS_READY
COP,EQUITY,0001163165,UNIQUE_CURRENT_CIK,F03,2022-02-03,21310,43,634,PIT_FACTS_READY
COP,EQUITY,0001163165,UNIQUE_CURRENT_CIK,F04,2024-02-05,25046,51,665,PIT_FACTS_READY
COST,EQUITY,0000909832,UNIQUE_CURRENT_CIK,F01,2018-02-01,9598,24,311,PIT_FACTS_READY
COST,EQUITY,0000909832,UNIQUE_CURRENT_CIK,F02,2020-02-03,12581,32,370,PIT_FACTS_READY
COST,EQUITY,0000909832,UNIQUE_CURRENT_CIK,F03,2022-02-03,15478,40,392,PIT_FACTS_READY
COST,EQUITY,0000909832,UNIQUE_CURRENT_CIK,F04,2024-02-05,18094,48,407,PIT_FACTS_READY
CRM,EQUITY,0001108524,UNIQUE_CURRENT_CIK,F01,2018-02-01,11805,25,467,MISSING_ACCEPTANCE_LINKS
CRM,EQUITY,0001108524,UNIQUE_CURRENT_CIK,F02,2020-02-03,15548,33,573,MISSING_ACCEPTANCE_LINKS
CRM,EQUITY,0001108524,UNIQUE_CURRENT_CIK,F03,2022-02-03,18267,39,601,MISSING_ACCEPTANCE_LINKS
CRM,EQUITY,0001108524,UNIQUE_CURRENT_CIK,F04,2024-02-05,22375,49,615,MISSING_ACCEPTANCE_LINKS
CVX,EQUITY,0000093410,UNIQUE_CURRENT_CIK,F01,2018-02-01,10635,24,424,PIT_FACTS_READY
CVX,EQUITY,0000093410,UNIQUE_CURRENT_CIK,F02,2020-02-03,14525,32,495,PIT_FACTS_READY
CVX,EQUITY,0000093410,UNIQUE_CURRENT_CIK,F03,2022-02-03,18498,40,532,PIT_FACTS_READY
CVX,EQUITY,0000093410,UNIQUE_CURRENT_CIK,F04,2024-02-05,22680,49,542,PIT_FACTS_READY
DIA,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
DIA,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
DIA,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
DIA,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
DIS,EQUITY,0001001039,VERIFIED_PERIOD_CIK,F01,2018-02-01,10547,24,439,PIT_FACTS_READY
DIS,EQUITY,0001744489,VERIFIED_PERIOD_CIK,F02,2020-02-03,2816,4,390,PIT_FACTS_READY
DIS,EQUITY,0001744489,VERIFIED_PERIOD_CIK,F03,2022-02-03,7729,13,460,PIT_FACTS_READY
DIS,EQUITY,0001744489,VERIFIED_PERIOD_CIK,F04,2024-02-05,11563,23,473,PIT_FACTS_READY
DUK,EQUITY,0001326160,UNIQUE_CURRENT_CIK,F01,2018-02-01,13375,24,653,PIT_FACTS_READY
DUK,EQUITY,0001326160,UNIQUE_CURRENT_CIK,F02,2020-02-03,18360,33,746,PIT_FACTS_READY
DUK,EQUITY,0001326160,UNIQUE_CURRENT_CIK,F03,2022-02-03,22168,42,766,PIT_FACTS_READY
DUK,EQUITY,0001326160,UNIQUE_CURRENT_CIK,F04,2024-02-05,26142,50,780,PIT_FACTS_READY
EOG,EQUITY,0000821189,UNIQUE_CURRENT_CIK,F01,2018-02-01,8591,24,353,PIT_FACTS_READY
EOG,EQUITY,0000821189,UNIQUE_CURRENT_CIK,F02,2020-02-03,11526,32,403,PIT_FACTS_READY
EOG,EQUITY,0000821189,UNIQUE_CURRENT_CIK,F03,2022-02-03,14406,40,421,PIT_FACTS_READY
EOG,EQUITY,0000821189,UNIQUE_CURRENT_CIK,F04,2024-02-05,17125,48,463,PIT_FACTS_READY
FCX,EQUITY,0000831259,UNIQUE_CURRENT_CIK,F01,2018-02-01,11231,26,587,PIT_FACTS_READY
FCX,EQUITY,0000831259,UNIQUE_CURRENT_CIK,F02,2020-02-03,15159,34,666,PIT_FACTS_READY
FCX,EQUITY,0000831259,UNIQUE_CURRENT_CIK,F03,2022-02-03,18625,42,702,PIT_FACTS_READY
FCX,EQUITY,0000831259,UNIQUE_CURRENT_CIK,F04,2024-02-05,21911,51,716,PIT_FACTS_READY
GE,EQUITY,0000040545,UNIQUE_CURRENT_CIK,F01,2018-02-01,15513,29,532,PIT_FACTS_READY
GE,EQUITY,0000040545,UNIQUE_CURRENT_CIK,F02,2020-02-03,20453,37,652,PIT_FACTS_READY
GE,EQUITY,0000040545,UNIQUE_CURRENT_CIK,F03,2022-02-03,24938,45,732,PIT_FACTS_READY
GE,EQUITY,0000040545,UNIQUE_CURRENT_CIK,F04,2024-02-05,31352,55,837,PIT_FACTS_READY
GOOGL,EQUITY,0001652044,UNIQUE_CURRENT_CIK,F01,2018-02-01,4579,10,341,PIT_FACTS_READY
GOOGL,EQUITY,0001652044,UNIQUE_CURRENT_CIK,F02,2020-02-03,8063,18,420,PIT_FACTS_READY
GOOGL,EQUITY,0001652044,UNIQUE_CURRENT_CIK,F03,2022-02-03,12330,27,454,PIT_FACTS_READY
GOOGL,EQUITY,0001652044,UNIQUE_CURRENT_CIK,F04,2024-02-05,15899,35,464,PIT_FACTS_READY
GS,EQUITY,0000886982,UNIQUE_CURRENT_CIK,F01,2018-02-01,12984,25,424,PIT_FACTS_READY
GS,EQUITY,0000886982,UNIQUE_CURRENT_CIK,F02,2020-02-03,17694,33,460,PIT_FACTS_READY
GS,EQUITY,0000886982,UNIQUE_CURRENT_CIK,F03,2022-02-03,22554,41,485,PIT_FACTS_READY
GS,EQUITY,0000886982,UNIQUE_CURRENT_CIK,F04,2024-02-05,27422,49,530,PIT_FACTS_READY
HD,EQUITY,0000354950,UNIQUE_CURRENT_CIK,F01,2018-02-01,7456,25,283,PIT_FACTS_READY
HD,EQUITY,0000354950,UNIQUE_CURRENT_CIK,F02,2020-02-03,9903,33,355,PIT_FACTS_READY
HD,EQUITY,0000354950,UNIQUE_CURRENT_CIK,F03,2022-02-03,12541,41,378,PIT_FACTS_READY
HD,EQUITY,0000354950,UNIQUE_CURRENT_CIK,F04,2024-02-05,15105,49,385,PIT_FACTS_READY
HON,EQUITY,0000773840,UNIQUE_CURRENT_CIK,F01,2018-02-01,10670,24,425,PIT_FACTS_READY
HON,EQUITY,0000773840,UNIQUE_CURRENT_CIK,F02,2020-02-03,14161,32,480,PIT_FACTS_READY
HON,EQUITY,0000773840,UNIQUE_CURRENT_CIK,F03,2022-02-03,17632,40,508,PIT_FACTS_READY
HON,EQUITY,0000773840,UNIQUE_CURRENT_CIK,F04,2024-02-05,21107,48,529,PIT_FACTS_READY
IWM,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
IWM,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
IWM,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
IWM,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
JNJ,EQUITY,0000200406,UNIQUE_CURRENT_CIK,F01,2018-02-01,9585,24,380,PIT_FACTS_READY
JNJ,EQUITY,0000200406,UNIQUE_CURRENT_CIK,F02,2020-02-03,12949,32,445,PIT_FACTS_READY
JNJ,EQUITY,0000200406,UNIQUE_CURRENT_CIK,F03,2022-02-03,16321,40,459,PIT_FACTS_READY
JNJ,EQUITY,0000200406,UNIQUE_CURRENT_CIK,F04,2024-02-05,19679,48,521,PIT_FACTS_READY
JPM,EQUITY,0000019617,UNIQUE_CURRENT_CIK,F01,2018-02-01,16866,25,558,PIT_FACTS_READY
JPM,EQUITY,0000019617,UNIQUE_CURRENT_CIK,F02,2020-02-03,22517,33,628,PIT_FACTS_READY
JPM,EQUITY,0000019617,UNIQUE_CURRENT_CIK,F03,2022-02-03,28380,41,694,PIT_FACTS_READY
JPM,EQUITY,0000019617,UNIQUE_CURRENT_CIK,F04,2024-02-05,34520,49,743,PIT_FACTS_READY
KO,EQUITY,0000021344,UNIQUE_CURRENT_CIK,F01,2018-02-01,11596,26,481,PIT_FACTS_READY
KO,EQUITY,0000021344,UNIQUE_CURRENT_CIK,F02,2020-02-03,15976,35,560,PIT_FACTS_READY
KO,EQUITY,0000021344,UNIQUE_CURRENT_CIK,F03,2022-02-03,19427,43,598,PIT_FACTS_READY
KO,EQUITY,0000021344,UNIQUE_CURRENT_CIK,F04,2024-02-05,23950,51,651,PIT_FACTS_READY
LIN,EQUITY,0001707925,UNIQUE_CURRENT_CIK,F01,2018-02-01,57,1,32,PIT_FACTS_READY
LIN,EQUITY,0001707925,UNIQUE_CURRENT_CIK,F02,2020-02-03,2346,7,393,PIT_FACTS_READY
LIN,EQUITY,0001707925,UNIQUE_CURRENT_CIK,F03,2022-02-03,6215,15,432,PIT_FACTS_READY
LIN,EQUITY,0001707925,UNIQUE_CURRENT_CIK,F04,2024-02-05,9714,23,449,PIT_FACTS_READY
LLY,EQUITY,0000059478,UNIQUE_CURRENT_CIK,F01,2018-02-01,8669,24,405,PIT_FACTS_READY
LLY,EQUITY,0000059478,UNIQUE_CURRENT_CIK,F02,2020-02-03,12228,33,465,PIT_FACTS_READY
LLY,EQUITY,0000059478,UNIQUE_CURRENT_CIK,F03,2022-02-03,14994,41,486,PIT_FACTS_READY
LLY,EQUITY,0000059478,UNIQUE_CURRENT_CIK,F04,2024-02-05,17496,49,495,PIT_FACTS_READY
MA,EQUITY,0001141391,UNIQUE_CURRENT_CIK,F01,2018-02-01,9321,24,395,PIT_FACTS_READY
MA,EQUITY,0001141391,UNIQUE_CURRENT_CIK,F02,2020-02-03,12785,32,452,PIT_FACTS_READY
MA,EQUITY,0001141391,UNIQUE_CURRENT_CIK,F03,2022-02-03,16207,40,500,PIT_FACTS_READY
MA,EQUITY,0001141391,UNIQUE_CURRENT_CIK,F04,2024-02-05,19598,48,518,PIT_FACTS_READY
MCD,EQUITY,0000063908,UNIQUE_CURRENT_CIK,F01,2018-02-01,8068,24,260,PIT_FACTS_READY
