ticker,asset_type,cik,cik_mapping_status,fold_id,as_of,available_fact_rows,available_accessions,available_concepts,status
MCD,EQUITY,0000063908,UNIQUE_CURRENT_CIK,F02,2020-02-03,11017,32,282,PIT_FACTS_READY
MCD,EQUITY,0000063908,UNIQUE_CURRENT_CIK,F03,2022-02-03,13907,40,311,PIT_FACTS_READY
MCD,EQUITY,0000063908,UNIQUE_CURRENT_CIK,F04,2024-02-05,16827,48,346,PIT_FACTS_READY
META,EQUITY,0001326801,UNIQUE_CURRENT_CIK,F01,2018-02-01,6168,22,283,PIT_FACTS_READY
META,EQUITY,0001326801,UNIQUE_CURRENT_CIK,F02,2020-02-03,9003,31,354,PIT_FACTS_READY
META,EQUITY,0001326801,UNIQUE_CURRENT_CIK,F03,2022-02-03,11182,38,369,PIT_FACTS_READY
META,EQUITY,0001326801,UNIQUE_CURRENT_CIK,F04,2024-02-05,14571,47,414,PIT_FACTS_READY
MRK,EQUITY,0000310158,UNIQUE_CURRENT_CIK,F01,2018-02-01,10477,24,507,PIT_FACTS_READY
MRK,EQUITY,0000310158,UNIQUE_CURRENT_CIK,F02,2020-02-03,14062,32,572,PIT_FACTS_READY
MRK,EQUITY,0000310158,UNIQUE_CURRENT_CIK,F03,2022-02-03,17759,40,638,PIT_FACTS_READY
MRK,EQUITY,0000310158,UNIQUE_CURRENT_CIK,F04,2024-02-05,21552,48,661,PIT_FACTS_READY
MSFT,EQUITY,0000789019,UNIQUE_CURRENT_CIK,F01,2018-02-01,12662,27,422,PIT_FACTS_READY
MSFT,EQUITY,0000789019,UNIQUE_CURRENT_CIK,F02,2020-02-03,16477,35,467,PIT_FACTS_READY
MSFT,EQUITY,0000789019,UNIQUE_CURRENT_CIK,F03,2022-02-03,20209,43,476,PIT_FACTS_READY
MSFT,EQUITY,0000789019,UNIQUE_CURRENT_CIK,F04,2024-02-05,23900,51,482,PIT_FACTS_READY
NEE,EQUITY,0000753308,UNIQUE_CURRENT_CIK,F01,2018-02-01,9699,24,326,PIT_FACTS_READY
NEE,EQUITY,0000753308,UNIQUE_CURRENT_CIK,F02,2020-02-03,13140,32,377,PIT_FACTS_READY
NEE,EQUITY,0000753308,UNIQUE_CURRENT_CIK,F03,2022-02-03,16557,40,403,PIT_FACTS_READY
NEE,EQUITY,0000753308,UNIQUE_CURRENT_CIK,F04,2024-02-05,19750,48,411,PIT_FACTS_READY
NEM,EQUITY,0001164727,UNIQUE_CURRENT_CIK,F01,2018-02-01,13671,25,552,PIT_FACTS_READY
NEM,EQUITY,0001164727,UNIQUE_CURRENT_CIK,F02,2020-02-03,18697,34,650,PIT_FACTS_READY
NEM,EQUITY,0001164727,UNIQUE_CURRENT_CIK,F03,2022-02-03,23166,42,705,PIT_FACTS_READY
NEM,EQUITY,0001164727,UNIQUE_CURRENT_CIK,F04,2024-02-05,27954,52,727,PIT_FACTS_READY
NFLX,EQUITY,0001065280,UNIQUE_CURRENT_CIK,F01,2018-02-01,8708,25,306,PIT_FACTS_READY
NFLX,EQUITY,0001065280,UNIQUE_CURRENT_CIK,F02,2020-02-03,11828,34,360,PIT_FACTS_READY
NFLX,EQUITY,0001065280,UNIQUE_CURRENT_CIK,F03,2022-02-03,14494,42,378,PIT_FACTS_READY
NFLX,EQUITY,0001065280,UNIQUE_CURRENT_CIK,F04,2024-02-05,17224,50,418,PIT_FACTS_READY
NKE,EQUITY,0000320187,UNIQUE_CURRENT_CIK,F01,2018-02-01,7880,25,314,PIT_FACTS_READY
NKE,EQUITY,0000320187,UNIQUE_CURRENT_CIK,F02,2020-02-03,10273,33,346,PIT_FACTS_READY
NKE,EQUITY,0000320187,UNIQUE_CURRENT_CIK,F03,2022-02-03,12622,41,356,PIT_FACTS_READY
NKE,EQUITY,0000320187,UNIQUE_CURRENT_CIK,F04,2024-02-05,14943,49,368,PIT_FACTS_READY
NVDA,EQUITY,0001045810,UNIQUE_CURRENT_CIK,F01,2018-02-01,10207,24,437,PIT_FACTS_READY
NVDA,EQUITY,0001045810,UNIQUE_CURRENT_CIK,F02,2020-02-03,13409,32,495,PIT_FACTS_READY
NVDA,EQUITY,0001045810,UNIQUE_CURRENT_CIK,F03,2022-02-03,16539,40,538,PIT_FACTS_READY
NVDA,EQUITY,0001045810,UNIQUE_CURRENT_CIK,F04,2024-02-05,19842,48,557,PIT_FACTS_READY
ORCL,EQUITY,0001341439,UNIQUE_CURRENT_CIK,F01,2018-02-01,9905,24,372,PIT_FACTS_READY
ORCL,EQUITY,0001341439,UNIQUE_CURRENT_CIK,F02,2020-02-03,12993,32,419,PIT_FACTS_READY
ORCL,EQUITY,0001341439,UNIQUE_CURRENT_CIK,F03,2022-02-03,15942,40,433,PIT_FACTS_READY
ORCL,EQUITY,0001341439,UNIQUE_CURRENT_CIK,F04,2024-02-05,18910,48,448,PIT_FACTS_READY
PEP,EQUITY,0000077476,UNIQUE_CURRENT_CIK,F01,2018-02-01,11016,25,411,PIT_FACTS_READY
PEP,EQUITY,0000077476,UNIQUE_CURRENT_CIK,F02,2020-02-03,15209,33,465,PIT_FACTS_READY
PEP,EQUITY,0000077476,UNIQUE_CURRENT_CIK,F03,2022-02-03,19328,41,514,PIT_FACTS_READY
PEP,EQUITY,0000077476,UNIQUE_CURRENT_CIK,F04,2024-02-05,23323,49,547,PIT_FACTS_READY
PG,EQUITY,0000080424,UNIQUE_CURRENT_CIK,F01,2018-02-01,10320,28,344,PIT_FACTS_READY
PG,EQUITY,0000080424,UNIQUE_CURRENT_CIK,F02,2020-02-03,13792,37,387,PIT_FACTS_READY
PG,EQUITY,0000080424,UNIQUE_CURRENT_CIK,F03,2022-02-03,17111,46,412,PIT_FACTS_READY
PG,EQUITY,0000080424,UNIQUE_CURRENT_CIK,F04,2024-02-05,19760,54,418,PIT_FACTS_READY
PLD,EQUITY,0001045609,UNIQUE_CURRENT_CIK,F01,2018-02-01,10354,24,502,PIT_FACTS_READY
PLD,EQUITY,0001045609,UNIQUE_CURRENT_CIK,F02,2020-02-03,13517,32,543,PIT_FACTS_READY
PLD,EQUITY,0001045609,UNIQUE_CURRENT_CIK,F03,2022-02-03,16442,40,552,PIT_FACTS_READY
PLD,EQUITY,0001045609,UNIQUE_CURRENT_CIK,F04,2024-02-05,19250,48,559,PIT_FACTS_READY
QQQ,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
QQQ,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
QQQ,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
QQQ,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
SHW,EQUITY,0000089800,UNIQUE_CURRENT_CIK,F01,2018-02-01,10402,24,392,PIT_FACTS_READY
SHW,EQUITY,0000089800,UNIQUE_CURRENT_CIK,F02,2020-02-03,14128,32,449,PIT_FACTS_READY
SHW,EQUITY,0000089800,UNIQUE_CURRENT_CIK,F03,2022-02-03,17756,40,482,PIT_FACTS_READY
SHW,EQUITY,0000089800,UNIQUE_CURRENT_CIK,F04,2024-02-05,21461,48,511,PIT_FACTS_READY
SLB,EQUITY,0000087347,UNIQUE_CURRENT_CIK,F01,2018-02-01,10715,25,414,PIT_FACTS_READY
SLB,EQUITY,0000087347,UNIQUE_CURRENT_CIK,F02,2020-02-03,13552,33,442,PIT_FACTS_READY
SLB,EQUITY,0000087347,UNIQUE_CURRENT_CIK,F03,2022-02-03,16248,41,462,PIT_FACTS_READY
SLB,EQUITY,0000087347,UNIQUE_CURRENT_CIK,F04,2024-02-05,18926,49,485,PIT_FACTS_READY
SO,EQUITY,0000092122,UNIQUE_CURRENT_CIK,F01,2018-02-01,8343,24,372,PIT_FACTS_READY
SO,EQUITY,0000092122,UNIQUE_CURRENT_CIK,F02,2020-02-03,12115,32,499,PIT_FACTS_READY
SO,EQUITY,0000092122,UNIQUE_CURRENT_CIK,F03,2022-02-03,15849,40,526,PIT_FACTS_READY
SO,EQUITY,0000092122,UNIQUE_CURRENT_CIK,F04,2024-02-05,19476,48,535,PIT_FACTS_READY
SPY,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
SPY,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
SPY,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
SPY,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
TMUS,EQUITY,0001283699,UNIQUE_CURRENT_CIK,F01,2018-02-01,10276,25,529,PIT_FACTS_READY
TMUS,EQUITY,0001283699,UNIQUE_CURRENT_CIK,F02,2020-02-03,14887,34,619,PIT_FACTS_READY
TMUS,EQUITY,0001283699,UNIQUE_CURRENT_CIK,F03,2022-02-03,19193,43,675,PIT_FACTS_READY
TMUS,EQUITY,0001283699,UNIQUE_CURRENT_CIK,F04,2024-02-05,23515,52,701,PIT_FACTS_READY
TSLA,EQUITY,0001318605,UNIQUE_CURRENT_CIK,F01,2018-02-01,8661,25,430,PIT_FACTS_READY
TSLA,EQUITY,0001318605,UNIQUE_CURRENT_CIK,F02,2020-02-03,12104,33,516,PIT_FACTS_READY
TSLA,EQUITY,0001318605,UNIQUE_CURRENT_CIK,F03,2022-02-03,15534,43,553,PIT_FACTS_READY
TSLA,EQUITY,0001318605,UNIQUE_CURRENT_CIK,F04,2024-02-05,19653,53,607,PIT_FACTS_READY
UNH,EQUITY,0000731766,UNIQUE_CURRENT_CIK,F01,2018-02-01,10162,24,408,PIT_FACTS_READY
UNH,EQUITY,0000731766,UNIQUE_CURRENT_CIK,F02,2020-02-03,13541,32,440,PIT_FACTS_READY
UNH,EQUITY,0000731766,UNIQUE_CURRENT_CIK,F03,2022-02-03,16862,40,454,PIT_FACTS_READY
UNH,EQUITY,0000731766,UNIQUE_CURRENT_CIK,F04,2024-02-05,20249,48,476,PIT_FACTS_READY
UNP,EQUITY,0000100885,UNIQUE_CURRENT_CIK,F01,2018-02-01,8100,24,271,PIT_FACTS_READY
UNP,EQUITY,0000100885,UNIQUE_CURRENT_CIK,F02,2020-02-03,11117,32,330,PIT_FACTS_READY
UNP,EQUITY,0000100885,UNIQUE_CURRENT_CIK,F03,2022-02-03,14310,40,347,PIT_FACTS_READY
UNP,EQUITY,0000100885,UNIQUE_CURRENT_CIK,F04,2024-02-05,17185,48,397,PIT_FACTS_READY
V,EQUITY,0001403161,UNIQUE_CURRENT_CIK,F01,2018-02-01,8145,24,442,PIT_FACTS_READY
V,EQUITY,0001403161,UNIQUE_CURRENT_CIK,F02,2020-02-03,11052,33,505,PIT_FACTS_READY
V,EQUITY,0001403161,UNIQUE_CURRENT_CIK,F03,2022-02-03,13846,41,523,PIT_FACTS_READY
V,EQUITY,0001403161,UNIQUE_CURRENT_CIK,F04,2024-02-05,16680,49,538,PIT_FACTS_READY
WMT,EQUITY,0000104169,UNIQUE_CURRENT_CIK,F01,2018-02-01,9089,25,321,PIT_FACTS_READY
WMT,EQUITY,0000104169,UNIQUE_CURRENT_CIK,F02,2020-02-03,12300,33,385,PIT_FACTS_READY
WMT,EQUITY,0000104169,UNIQUE_CURRENT_CIK,F03,2022-02-03,15253,41,420,PIT_FACTS_READY
WMT,EQUITY,0000104169,UNIQUE_CURRENT_CIK,F04,2024-02-05,18185,49,426,PIT_FACTS_READY
XLB,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLB,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLB,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLB,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLC,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLC,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLC,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLC,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLE,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLE,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLE,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLE,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLF,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLF,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLF,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLF,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLI,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLI,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLI,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLI,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLK,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLK,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLK,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLK,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLP,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLP,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLP,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLP,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLU,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLU,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLU,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLU,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLV,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLV,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLV,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLV,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XLY,ETF,,,F01,2018-02-01,0,0,0,NOT_APPLICABLE_ETF
XLY,ETF,,,F02,2020-02-03,0,0,0,NOT_APPLICABLE_ETF
XLY,ETF,,,F03,2022-02-03,0,0,0,NOT_APPLICABLE_ETF
XLY,ETF,,,F04,2024-02-05,0,0,0,NOT_APPLICABLE_ETF
XOM,EQUITY,0000034088,VERIFIED_PERIOD_CIK,F01,2018-02-01,7157,24,334,PIT_FACTS_READY
XOM,EQUITY,0000034088,VERIFIED_PERIOD_CIK,F02,2020-02-03,9513,32,354,PIT_FACTS_READY
XOM,EQUITY,0000034088,VERIFIED_PERIOD_CIK,F03,2022-02-03,12047,40,386,PIT_FACTS_READY
XOM,EQUITY,0000034088,VERIFIED_PERIOD_CIK,F04,2024-02-05,14495,48,397,PIT_FACTS_READY
